link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country
2657,1606,7661,220,2,f,f,f,10572.635821,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'4845'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5455'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-3.98803700000001, 37.212832)","(-4.05395499999999, 37.134045)",ES,ES
2829,1597,7661,220,2,f,f,f,60816.066647,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7672'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'4830'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-4.647217, 36.879621)","(-4.05395499999999, 37.134045)",ES,ES
9319,6267,7662,380,1,f,f,f,53888.689536,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4425'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'4794'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-3.29589800000001, 43.133061)","(-2.76855499999999, 43.213183)",ES,ES
9425,6288,7662,380,2,f,f,f,14654.085772,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'4701'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5176'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-2.88940400000001, 43.325178)","(-2.76855499999999, 43.213183)",ES,ES
9455,6285,7662,380,1,f,f,f,31321.748803,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'4791'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5319'  'tie_line'=>'0'  'country_1'=>'ES'  'country_2'=>'ES',"(-2.438965, 43.052834)","(-2.76855499999999, 43.213183)",ES,ES
735,7098,7663,380,1,f,f,f,63644.20996,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'8375'  't9_code'=>'280.1.1'  'visible'=>'1'  'objectid'=>'7671'  'tie_line'=>'1'  'country_1'=>'AL'  'country_2'=>'ME',"(19.6093731303153, 42.0327993275087)","(19.632568, 41.943149)",AL,ME
636,94,7663,380,2,f,f,f,76743.483203,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6946'  't9_code'=>'280.1.1'  'visible'=>'1'  'objectid'=>'7671'  'tie_line'=>'1'  'country_1'=>'AL'  'country_2'=>'ME',"(19.731445, 41.360319)","(19.632568, 41.943149)",AL,ME
11366,7098,7663,380,1,f,f,f,63644.20996,,"(19.6093731303153, 42.0327993275087)","(19.632568, 41.943149)",,
9123,6379,7664,380,2,f,f,f,32796.692168,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'3498'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3801'  'tie_line'=>'0'  'country_1'=>'GB'  'country_2'=>'GB',"(-3.69140600000001, 50.478483)","(-4.01000999999999, 50.408518)",GB,GB
9631,6377,7664,380,2,f,f,f,17775.958749,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7290'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8080'  'tie_line'=>'0'  'country_1'=>'GB'  'country_2'=>'GB',"(-4.240723, 50.457504)","(-4.01000999999999, 50.408518)",GB,GB
9238,6539,7664,380,2,f,f,f,9486.851868,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'3662'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'3965'  'tie_line'=>'0'  'country_1'=>'GB'  'country_2'=>'GB',"(-3.96606399999999, 50.492463)","(-4.01000999999999, 50.408518)",GB,GB
8343,5301,7665,220,1,f,f,f,56345.151862,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7321'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8120'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(12.612305, 42.55308)","(12.183838, 42.964463)",IT,IT
6853,7465,7665,220,1,f,f,f,56510.517372,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5303'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'5969'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(11.744385, 43.381098)","(12.183838, 42.964463)",IT,IT
7082,5345,7665,220,1,f,f,f,7414.976704,'text_'=>' '  'symbol'=>'220 kV Transmission Line  1 Circuit'  'ogc_fid'=>'5619'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'6291'  'tie_line'=>'0'  'country_1'=>'IT'  'country_2'=>'IT',"(12.260742, 42.996612)","(12.183838, 42.964463)",IT,IT
