link_id,src_bus_id,dst_bus_id,voltage,circuits,dc,underground,under_construction,length_m,tags,src_coord,dst_coord,src_country,dst_country,src_x,src_y,dst_x,dst_y
8251,4323,4324,220.0,2,f,f,f,14208.187538,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6925'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7646'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.172363, 47.561701)","(14.260254, 47.680183)",AT,AT,1577660.232497431,6034244.801441261,1587444.2138627425,6053812.649034376
8224,4321,4324,220.0,2,f,f,f,19585.478065,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6898'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7616'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.0625, 47.805776)","(14.260254, 47.680183)",AT,AT,1565430.3392804095,6074603.492095299,1587444.2138627425,6053812.649034376
8206,4321,4325,220.0,2,f,f,f,42059.814655,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6880'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7597'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.0625, 47.805776)","(14.381104, 48.114767)",AT,AT,1565430.3392804095,6074603.492095299,1600897.1743251097,6125969.256266499
3900,2357,4327,220.0,2,f,f,f,91847.310871,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1105'  't9_code'=>'171.1/2.1'  'visible'=>'1'  'objectid'=>'1159'  'tie_line'=>'1'  'country_1'=>'CZ'  'country_2'=>'AT',"(16.75415, 49.037868)","(16.402588, 48.319734)",CZ,AT,1865063.4466741243,6281289.245646667,1825927.7438518598,6160212.976783776
8240,4291,4292,220.0,2,f,f,f,6746.141861,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6914'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7633'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(9.7229, 47.092566)","(9.78881800000001, 47.137425)",AT,AT,1082348.2770339195,5957196.309646966,1089686.2352280316,5964534.249031766
8221,4313,4323,220.0,2,f,f,f,117512.349748,'text_'=>' '  'symbol'=>'220 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6895'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7613'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.667236, 47.346267)","(14.172363, 47.561701)",AT,AT,1410110.2612782237,5998777.949910559,1577660.232497431,6034244.801441261
8200,4304,6020,380.0,1,f,f,f,9990.887377,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'6874'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7590'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.843262, 47.331377)","(11.964111, 47.294134)",AT,AT,1318385.8951713266,5996331.96899764,1331838.744314203,5990217.077787086
8810,4294,4295,380.0,2,f,f,f,16131.017514,'text_'=>'   220'  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'8560'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7602'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(9.70092800000001, 47.428087)","(9.62402299999999, 47.286682)",AT,AT,1079902.365182211,6012230.853734152,1071341.339742752,5988994.058454819
8236,4299,4301,380.0,3,f,f,f,12484.763389,'text_'=>'220'  'symbol'=>'380-400 kV Transmission Line  >= 3 Circuits'  'ogc_fid'=>'6910'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7629'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(10.898438, 47.23449)","(10.733643, 47.26432)",AT,AT,1213208.5686020628,5980433.152823559,1194863.6731167852,5985325.049677549
8234,4292,4295,380.0,2,f,f,f,20212.046764,'text_'=>'220'  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6908'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7627'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(9.78881800000001, 47.137425)","(9.62402299999999, 47.286682)",AT,AT,1089686.2352280316,5964534.249031766,1071341.339742752,5988994.058454819
8238,4304,7805,380.0,2,f,f,f,57411.634887,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6912'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7631'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(11.843262, 47.331377)","(12.601318, 47.316483)",AT,AT,1318385.8951713266,5996331.96899764,1402772.3030841125,5993886.020801098
8237,4316,7805,380.0,2,f,f,f,68153.044101,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6911'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7630'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.689209, 46.800059)","(12.601318, 47.316483)",AT,AT,1412556.2844494241,5909499.458127934,1402772.3030841125,5993886.020801098
8349,4313,7805,380.0,2,f,f,f,5426.411178,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'7329'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'8130'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(12.667236, 47.346267)","(12.601318, 47.316483)",AT,AT,1410110.2612782237,5998777.949910559,1402772.3030841125,5993886.020801098
4451,2805,4301,380.0,2,f,f,f,77634.330816,'text_'=>'380+220'  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'1663'  't9_code'=>'116.2.1'  'visible'=>'1'  'objectid'=>'1786'  'tie_line'=>'1'  'country_1'=>'AT'  'country_2'=>'DE',"(10.349121, 47.739323)","(10.733643, 47.26432)",AT,DE,1152058.8798779743,6063596.519989242,1194863.6731167852,5985325.049677549
8409,4313,5845,380.0,1,f,f,f,27101.144687,'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7453'  't9_code'=>'0'  'visible'=>'1'  'tie_line'=>'0'  'country_1'=>'AT',"(12.667236, 47.346267)","(12.821045, 47.107523)",AT,,1410110.2612782237,5998777.949910559,1427232.2008376461,5959642.256446906
8408,4341,5848,380.0,1,f,f,f,18292.585251,'symbol'=>'380-400 kV Transmission Line  1 Circuit'  'ogc_fid'=>'7452'  't9_code'=>'0'  'visible'=>'1'  'tie_line'=>'0'  'country_1'=>'AT',"(15.424805, 48.114767)","(15.336914, 47.953145)",AT,,1717081.43818554,6125969.256266499,1707297.4568202286,6099063.369215538
8239,4311,4333,380.0,2,f,f,f,79333.199604,'text_'=>' '  'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6913'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7632'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(14.512939, 46.566414)","(15.457764, 46.852678)",AT,AT,1615572.979393841,5871586.752499327,1720750.4172825955,5918060.437496299
8211,4319,4325,380.0,2,f,f,f,96920.637939,'symbol'=>'380-400 kV Transmission Line  2 Circuits'  'ogc_fid'=>'6885'  't9_code'=>'0'  'visible'=>'1'  'objectid'=>'7603'  'tie_line'=>'0'  'country_1'=>'AT'  'country_2'=>'AT',"(13.084717, 48.253941)","(14.381104, 48.114767)",AT,AT,1456584.0336140902,6149206.027304595,1600897.1743251097,6125969.256266499
